file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/workspaces/ck/./src/test/java/com/github/mauricioaniche/ck/NumberOfMaxNestedBlocksTest.java,com.github.mauricioaniche.ck.NumberOfMaxNestedBlocksTest,class,6,6,0,6,11,2,0,8,55,0.0,0.0,0.0,11,0,11,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,2,65,0,0,0,0,0,31,30,11,1,10,0,0,0,0,40,1,0
/workspaces/ck/./src/main/java/com/github/mauricioaniche/ck/metric/CBO.java,com.github.mauricioaniche.ck.metric.CBO,class,36,37,1,36,75,1,0,55,372,0.89285713,0.0,0.0,28,0,3,25,0,0,3,0,0,0,1,0,0,1,0,0,1,0,1,193,9,4,11,1,0,11,2,20,1,25,16,0,0,6,83,1,0
/workspaces/ck/./src/test/java/com/github/mauricioaniche/ck/util/DependencySorterTest.java,com.github.mauricioaniche.ck.util.DependencySorterTest,class,9,9,0,9,3,1,0,4,0,0.0,1.0,1.0,3,0,0,0,0,3,3,0,0,0,1,0,0,1,0,0,1,0,3,44,0,0,0,0,0,0,0,7,0,7,0,0,6,0,27,1,0
/workspaces/ck/./src/main/java/com/github/mauricioaniche/ck/metric/MethodInvocationsLocal.java,com.github.mauricioaniche.ck.metric.MethodInvocationsLocal,class,8,10,2,8,10,1,0,23,6,0.0,NaN,NaN,4,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,41,3,5,0,0,0,0,0,11,0,11,2,0,0,1,26,1,0
/workspaces/ck/./src/test/java/com/github/mauricioaniche/ck/util/WordCounterTest.java,com.github.mauricioaniche.ck.util.WordCounterTest,class,2,2,0,2,5,1,0,5,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,33,0,1,0,0,0,28,4,8,1,8,1,0,0,0,30,1,0
/workspaces/ck/./src/test/java/com/github/mauricioaniche/ck/JavadocLinesTest.java,com.github.mauricioaniche.ck.JavadocLinesTest,class,8,8,0,8,3,2,0,9,3,0.0,0.0,0.0,3,1,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,3,11,1,0,0,0,0,20,0,1,1,0,0,0,0,0,21,1,0
/workspaces/ck/./src/main/java/com/github/mauricioaniche/ck/metric/NumberOfTryCatches.java,com.github.mauricioaniche.ck.metric.NumberOfTryCatches,class,7,7,0,7,4,1,0,2,0,0.0,1.0,1.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,12,0,0,0,0,0,0,1,1,0,1,1,0,0,0,21,1,0
/workspaces/ck/./src/main/java/com/github/mauricioaniche/ck/metric/MethodLevelFieldUsageCount.java,com.github.mauricioaniche.ck.metric.MethodLevelFieldUsageCount,class,13,16,3,13,21,1,0,14,6,0.625,0.42857143,1.0,8,0,4,1,0,3,7,0,0,0,5,0,0,5,0,0,3,0,0,49,1,1,1,0,1,0,2,12,1,10,5,0,0,0,49,1,0
/workspaces/ck/./src/test/java/com/github/mauricioaniche/ck/realworld/HugeRealWorldClassTest.java,com.github.mauricioaniche.ck.realworld.HugeRealWorldClassTest,class,5,5,0,5,2,2,0,4,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,2,0,2,1,1,0,0,0,0,19,1,0
/workspaces/ck/./src/test/java/com/github/mauricioaniche/ck/FieldsTest.java,com.github.mauricioaniche.ck.FieldsTest,class,5,5,0,5,9,2,0,12,36,0.0,0.0,0.0,9,0,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,2,37,0,0,0,0,2,9,8,9,1,8,0,0,0,0,23,1,0
