file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/workspaces/ck/./src/main/java/com/github/mauricioaniche/ck/metric/Coupling.java,com.github.mauricioaniche.ck.metric.Coupling,internalVisit/1[com.github.mauricioaniche.ck.metric.ParameterizedType],false,160,3,1,0,1,5,4,18,0,1,1,4,1,2,1,2,1,0,0,0,1,0,4,0,0,0,16,2,0,false
/workspaces/ck/./src/main/java/com/github/mauricioaniche/ck/metric/Coupling.java,com.github.mauricioaniche.ck.metric.Coupling,setResult/1[com.github.mauricioaniche.ck.CKClassResult],false,284,1,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
/workspaces/ck/./src/main/java/com/github/mauricioaniche/ck/metric/Coupling.java,com.github.mauricioaniche.ck.metric.Coupling,visit/1[T],false,21,16,3,0,3,15,4,16,0,0,1,4,3,3,0,0,0,0,0,0,0,0,14,0,0,0,28,1,0,false
/workspaces/ck/./src/main/java/com/github/mauricioaniche/ck/metric/Coupling.java,com.github.mauricioaniche.ck.metric.Coupling,"coupleTo/2[com.github.mauricioaniche.ck.metric.IMethodBinding,com.github.mauricioaniche.ck.metric.CouplingExtras.CouplingClassification]",false,244,4,3,0,3,4,4,7,3,1,2,4,2,1,0,1,0,0,1,0,1,0,1,0,0,0,16,2,0,false
/workspaces/ck/./src/main/java/com/github/mauricioaniche/ck/metric/Coupling.java,com.github.mauricioaniche.ck.metric.Coupling,Coupling/0,true,16,1,1,0,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,false
/workspaces/ck/./src/main/java/com/github/mauricioaniche/ck/metric/Coupling.java,com.github.mauricioaniche.ck.metric.Coupling,internalVisit/1[com.github.mauricioaniche.ck.metric.ThrowStatement],false,80,2,1,0,1,3,3,5,0,0,1,3,1,2,0,2,0,0,0,0,0,0,2,0,0,0,8,2,0,false
/workspaces/ck/./src/main/java/com/github/mauricioaniche/ck/metric/Coupling.java,com.github.mauricioaniche.ck.metric.Coupling,setMethodName/1[java.lang.String],false,295,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
/workspaces/ck/./src/test/java/com/github/mauricioaniche/ck/NumberOfMathOperationsTest.java,com.github.mauricioaniche.ck.NumberOfMathOperationsTest,setUp/0,false,14,2,2,0,2,1,2,3,0,0,0,2,0,0,0,0,0,0,1,0,1,1,0,0,0,0,6,1,0,false
/workspaces/ck/./src/test/java/com/github/mauricioaniche/ck/NumberOfMathOperationsTest.java,com.github.mauricioaniche.ck.NumberOfMathOperationsTest,count/0,false,19,3,3,0,3,1,6,7,0,1,0,6,0,0,0,0,0,0,4,4,1,0,0,0,0,0,6,1,0,false
/workspaces/ck/./src/main/java/com/github/mauricioaniche/ck/metric/NumberOfInnerClassesLambdasAndAnonymousClasses.java,com.github.mauricioaniche.ck.metric.NumberOfInnerClassesLambdasAndAnonymousClasses,internalVisit/1[com.github.mauricioaniche.ck.metric.AnonymousClassDeclaration],false,48,1,0,0,0,2,0,4,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,12,0,0,false
/workspaces/ck/./src/main/java/com/github/mauricioaniche/ck/metric/NumberOfInnerClassesLambdasAndAnonymousClasses.java,com.github.mauricioaniche.ck.metric.NumberOfInnerClassesLambdasAndAnonymousClasses,visit/1[T],false,22,6,1,0,1,5,1,6,0,0,1,1,1,1,0,0,0,0,0,0,0,0,4,0,0,0,15,1,0,false
/workspaces/ck/./src/main/java/com/github/mauricioaniche/ck/metric/NumberOfInnerClassesLambdasAndAnonymousClasses.java,com.github.mauricioaniche.ck.metric.NumberOfInnerClassesLambdasAndAnonymousClasses,setResult/1[com.github.mauricioaniche.ck.CKMethodResult],false,64,1,3,0,3,1,3,5,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,false
/workspaces/ck/./src/main/java/com/github/mauricioaniche/ck/metric/NumberOfInnerClassesLambdasAndAnonymousClasses.java,com.github.mauricioaniche.ck.metric.NumberOfInnerClassesLambdasAndAnonymousClasses,internalVisit/1[com.github.mauricioaniche.ck.metric.TypeDeclaration],false,29,1,1,1,0,2,0,4,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,11,0,0,false
/workspaces/ck/./src/main/java/com/github/mauricioaniche/ck/metric/NumberOfInnerClassesLambdasAndAnonymousClasses.java,com.github.mauricioaniche.ck.metric.NumberOfInnerClassesLambdasAndAnonymousClasses,internalVisit/1[com.github.mauricioaniche.ck.metric.EnumDeclaration],false,35,1,0,0,0,2,0,4,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,11,0,0,false
/workspaces/ck/./src/main/java/com/github/mauricioaniche/ck/metric/NumberOfInnerClassesLambdasAndAnonymousClasses.java,com.github.mauricioaniche.ck.metric.NumberOfInnerClassesLambdasAndAnonymousClasses,setResult/1[com.github.mauricioaniche.ck.CKClassResult],false,55,1,3,0,3,5,4,5,0,0,1,4,0,0,0,0,0,3,4,6,0,3,0,0,0,0,11,1,0,false
/workspaces/ck/./src/main/java/com/github/mauricioaniche/ck/metric/NumberOfInnerClassesLambdasAndAnonymousClasses.java,com.github.mauricioaniche.ck.metric.NumberOfInnerClassesLambdasAndAnonymousClasses,internalVisit/1[com.github.mauricioaniche.ck.metric.LambdaExpression],false,42,1,0,0,0,2,0,4,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,10,0,0,false
/workspaces/ck/./src/main/java/com/github/mauricioaniche/ck/util/WordCounter.java,com.github.mauricioaniche.ck.util.WordCounter,removeSpacesAndIdentation/1[java.lang.String],false,126,0,3,3,0,1,3,3,1,0,1,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,6,9,0,false
/workspaces/ck/./src/main/java/com/github/mauricioaniche/ck/util/WordCounter.java,com.github.mauricioaniche.ck.util.WordCounter,wordsIn/1[java.lang.String],false,68,1,7,6,1,2,11,9,1,7,1,11,1,1,1,0,0,0,39,0,3,0,1,0,0,4,9,9,0,false
/workspaces/ck/./src/main/java/com/github/mauricioaniche/ck/util/WordCounter.java,com.github.mauricioaniche.ck.util.WordCounter,(initializer 1),false,10,0,1,0,1,1,0,58,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,8,0,false
/workspaces/ck/./src/main/java/com/github/mauricioaniche/ck/util/WordCounter.java,com.github.mauricioaniche.ck.util.WordCounter,breakString/1[java.lang.String],false,105,0,1,1,0,6,7,15,2,5,1,7,0,0,1,3,0,1,0,5,6,1,2,0,0,0,11,10,0,false
/workspaces/ck/./src/test/java/com/github/mauricioaniche/ck/FieldsAccessedTest.java,com.github.mauricioaniche.ck.FieldsAccessedTest,setUp/0,false,15,2,2,0,2,1,2,3,0,0,0,2,0,0,0,0,0,0,1,0,1,1,0,0,0,0,6,1,0,false
/workspaces/ck/./src/test/java/com/github/mauricioaniche/ck/FieldsAccessedTest.java,com.github.mauricioaniche.ck.FieldsAccessedTest,fieldsAccessedBasic/0,false,20,3,2,0,2,1,6,9,0,4,0,6,0,0,0,0,0,0,8,0,4,0,0,0,0,0,12,1,0,false
/workspaces/ck/./src/test/java/com/github/mauricioaniche/ck/FieldsAccessedTest.java,com.github.mauricioaniche.ck.FieldsAccessedTest,fieldsThatAreDeclaredAfter/0,false,37,3,2,0,2,1,6,5,0,2,0,6,0,0,0,0,0,0,3,0,2,0,0,0,0,0,12,1,0,false
/workspaces/ck/./src/test/java/com/github/mauricioaniche/ck/FieldsAccessedTest.java,com.github.mauricioaniche.ck.FieldsAccessedTest,ifBlock/0,false,51,3,2,0,2,1,6,5,0,2,0,6,0,0,0,0,0,0,5,0,2,0,0,0,0,0,9,1,0,false
/workspaces/ck/./src/test/java/com/github/mauricioaniche/ck/FieldsAccessedTest.java,com.github.mauricioaniche.ck.FieldsAccessedTest,lambdaFunction/0,false,44,3,2,0,2,1,6,5,0,2,0,6,0,0,0,0,0,0,3,0,2,0,0,0,0,0,9,1,0,false
/workspaces/ck/./src/test/java/com/github/mauricioaniche/ck/FieldsAccessedTest.java,com.github.mauricioaniche.ck.FieldsAccessedTest,nonLocalTest/0,false,65,3,2,0,2,1,6,5,0,2,0,6,0,0,0,0,0,0,3,0,2,0,0,0,0,0,10,1,0,false
/workspaces/ck/./src/test/java/com/github/mauricioaniche/ck/FieldsAccessedTest.java,com.github.mauricioaniche.ck.FieldsAccessedTest,returnStatement/0,false,58,3,2,0,2,1,6,5,0,2,0,6,0,0,0,0,0,0,4,0,2,0,0,0,0,0,9,1,0,false
/workspaces/ck/./src/test/java/com/github/mauricioaniche/ck/util/LOCCalculatorTest.java,com.github.mauricioaniche.ck.util.LOCCalculatorTest,noEndOfLine/0,false,148,2,1,0,1,1,4,10,0,2,0,4,0,0,0,0,0,0,5,1,2,0,0,0,0,0,10,1,0,false
/workspaces/ck/./src/test/java/com/github/mauricioaniche/ck/util/LOCCalculatorTest.java,com.github.mauricioaniche.ck.util.LOCCalculatorTest,emptyLines/0,false,162,2,1,0,1,1,4,17,0,2,0,4,0,0,0,0,0,0,12,1,2,0,0,0,0,0,8,1,0,false
/workspaces/ck/./src/test/java/com/github/mauricioaniche/ck/util/LOCCalculatorTest.java,com.github.mauricioaniche.ck.util.LOCCalculatorTest,noSlashR/0,false,23,2,1,0,1,1,4,10,0,2,0,4,0,0,0,0,0,0,5,1,2,0,0,0,0,0,9,1,0,false
/workspaces/ck/./src/test/java/com/github/mauricioaniche/ck/util/LOCCalculatorTest.java,com.github.mauricioaniche.ck.util.LOCCalculatorTest,multiLineComment/0,false,69,2,1,0,1,1,4,16,0,2,0,4,0,0,0,0,0,0,11,1,2,0,0,0,0,0,9,1,0,false
